"","K","50","100","150","200","250","300"
"1",10,0.025,0.05,0.045,0.07,0.06,0.035
"2",20,0.035,0.04,0.055,0.045,0.065,0.045
"3",30,0.03,0.075,0.055,0.05,0.045,0.05
"4",40,0.035,0.065,0.035,0.05,0.05,0.045
